************************************************************************************************************************************************************************************************************
*    Row   *      nstb *      chan *       row *       col *        pp *     pprow *     ppcol *   qtcrate *    qtslot *    qtcard *    qtchan *   hvboard *    hvchip *    hvchan * hvaddress * cell_type *
*     1163 *         4 *       178 *        14 *         9 *         2 *        18 *         1 *         2 *         4 *         1 *         4 *         1 *         1 *         0 *        FC * small_rus *
*     1164 *         4 *       179 *        14 *        10 *         2 *        18 *         2 *         2 *         4 *         1 *         5 *         1 *         1 *         0 *        EC * small_rus *
*     1165 *         4 *       180 *        14 *        11 *         2 *        18 *         3 *         2 *         4 *         1 *         6 *         1 *         1 *         0 *        E4 * small_rus *
*     1166 *         4 *       186 *        15 *         5 *         2 *        12 *         6 *         2 *         4 *         0 *         0 *         1 *         1 *         1 *        E6 * small_rus *
*     1167 *         4 *       187 *        15 *         6 *         2 *        14 *        14 *         2 *         4 *         0 *         1 *         1 *         1 *         1 *        EE * small_rus *
*     1168 *         4 *       188 *        15 *         7 *         2 *        14 *        15 *         2 *         4 *         0 *         2 *         1 *         1 *         1 *        F6 * small_rus *
*     1169 *         4 *       189 *        15 *         8 *         2 *        14 *        16 *         2 *         4 *         0 *         3 *         1 *         1 *         1 *        FE * small_rus *
*     1170 *         4 *       190 *        15 *         9 *         2 *        16 *         1 *         2 *         4 *         0 *         4 *         1 *         1 *         0 *        FE * small_rus *
*     1171 *         4 *       191 *        15 *        10 *         2 *        16 *         2 *         2 *         4 *         0 *         5 *         1 *         1 *         0 *        EE * small_rus *
*     1172 *         4 *       192 *        15 *        11 *         2 *        16 *         3 *         2 *         4 *         0 *         6 *         1 *         1 *         0 *        E6 * small_rus *
*     1173 *         4 *       198 *        16 *         5 *         2 *        12 *         5 *         2 *         3 *         3 *         1 *         1 *         2 *         3 *        E2 * small_yal *
*     1174 *         4 *       199 *        16 *         6 *         2 *        14 *        11 *         2 *         3 *         3 *         2 *         1 *         2 *         3 *        EA * small_yal *
*     1175 *         4 *       200 *        16 *         7 *         2 *        14 *        12 *         2 *         3 *         3 *         3 *         1 *         2 *         3 *        EE * small_yal *
*     1176 *         4 *       201 *        16 *         8 *         2 *        14 *        13 *         2 *         3 *         3 *         4 *         1 *         2 *         3 *        F2 * small_yal *
*     1177 *         4 *       202 *        16 *         9 *         2 *        15 *         1 *         2 *         3 *         3 *         5 *         1 *         2 *         3 *        F6 * small_yal *
*     1178 *         4 *       203 *        16 *        10 *         2 *        15 *         2 *         2 *         3 *         3 *         6 *         1 *         2 *         3 *        FA * small_yal *
*     1179 *         4 *       204 *        16 *        11 *         2 *        15 *         3 *         2 *         3 *         3 *         7 *         1 *         2 *         3 *        FE * small_yal *
*     1180 *         4 *       205 *        17 *         0 *         2 *        10 *         8 *         2 *         1 *         0 *         0 *         1 *         0 *         3 *        E0 * small_rus *
*     1181 *         4 *       206 *        17 *         1 *         2 *        11 *         5 *         2 *         1 *         1 *         0 *         1 *         0 *         3 *        EC * small_rus *
*     1182 *         4 *       207 *        17 *         2 *         2 *        11 *         6 *         2 *         1 *         2 *         0 *         1 *         0 *         3 *        F4 * small_rus *
*     1183 *         4 *       208 *        17 *         3 *         2 *        11 *         7 *         2 *         1 *         3 *         0 *         1 *         0 *         3 *        FA * small_rus *
*     1184 *         4 *       209 *        17 *         4 *         2 *        11 *         8 *         2 *         3 *         2 *         0 *         1 *         2 *         3 *        E0 * small_yal *
*     1185 *         4 *       210 *        17 *         5 *         2 *        11 *         9 *         2 *         3 *         2 *         1 *         1 *         2 *         3 *        E4 * small_yal *
*     1186 *         4 *       211 *        17 *         6 *         2 *        14 *         8 *         2 *         3 *         2 *         2 *         1 *         2 *         3 *        E8 * small_yal *
*     1187 *         4 *       212 *        17 *         7 *         2 *        14 *         9 *         2 *         3 *         2 *         3 *         1 *         2 *         3 *        EC * small_yal *
*     1188 *         4 *       213 *        17 *         8 *         2 *        14 *        10 *         2 *         3 *         2 *         4 *         1 *         2 *         3 *        F0 * small_yal *
*     1189 *         4 *       214 *        17 *         9 *         2 *        14 *         1 *         2 *         3 *         2 *         5 *         1 *         2 *         3 *        F4 * small_yal *
*     1190 *         4 *       215 *        17 *        10 *         2 *        14 *         2 *         2 *         3 *         2 *         6 *         1 *         2 *         3 *        F8 * small_yal *
*     1191 *         4 *       216 *        17 *        11 *         2 *        14 *         3 *         2 *         3 *         2 *         7 *         1 *         2 *         3 *        FC * small_yal *
*     1192 *         4 *       217 *        18 *         0 *         2 *        15 *        16 *         2 *         1 *         0 *         1 *         1 *         0 *         3 *        E2 * small_rus *
*     1193 *         4 *       218 *        18 *         1 *         2 *        15 *        15 *         2 *         1 *         1 *         1 *         1 *         0 *         3 *        F0 * small_rus *
*     1194 *         4 *       219 *        18 *         2 *         2 *        15 *        14 *         2 *         1 *         2 *         1 *         1 *         0 *         3 *        F6 * small_rus *
*     1195 *         4 *       220 *        18 *         3 *         2 *        15 *        13 *         2 *         1 *         3 *         1 *         1 *         0 *         3 *        FC * small_rus *
*     1196 *         4 *       221 *        18 *         4 *         2 *        15 *        12 *         2 *         3 *         1 *         0 *         1 *         2 *         2 *        E2 * small_yal *
*     1197 *         4 *       222 *        18 *         5 *         2 *        15 *        11 *         2 *         3 *         1 *         1 *         1 *         2 *         2 *        E6 * small_yal *
*     1198 *         4 *       223 *        18 *         6 *         2 *        15 *        10 *         2 *         3 *         1 *         2 *         1 *         2 *         2 *        EA * small_yal *
*     1199 *         4 *       224 *        18 *         7 *         2 *        15 *         9 *         2 *         3 *         1 *         3 *         1 *         2 *         2 *        EE * small_yal *
*     1200 *         4 *       225 *        18 *         8 *         2 *        15 *         8 *         2 *         3 *         1 *         4 *         1 *         2 *         2 *        F2 * small_yal *
*     1201 *         4 *       226 *        18 *         9 *         2 *        15 *         7 *         2 *         3 *         1 *         5 *         1 *         2 *         2 *        F6 * small_yal *
*     1202 *         4 *       227 *        18 *        10 *         2 *        15 *         6 *         2 *         3 *         1 *         6 *         1 *         2 *         2 *        FA * small_yal *
*     1203 *         4 *       228 *        18 *        11 *         2 *        15 *         5 *         2 *         3 *         1 *         7 *         1 *         2 *         2 *        FE * small_yal *
*     1204 *         4 *       229 *        19 *         0 *         2 *        16 *        16 *         2 *         1 *         0 *         2 *         1 *         0 *         3 *        E8 * small_rus *
*     1205 *         4 *       230 *        19 *         1 *         2 *        16 *        15 *         2 *         1 *         1 *         2 *         1 *         0 *         3 *        F2 * small_rus *
*     1206 *         4 *       231 *        19 *         2 *         2 *        16 *        14 *         2 *         1 *         2 *         2 *         1 *         0 *         3 *        F8 * small_rus *
*     1207 *         4 *       232 *        19 *         3 *         2 *        16 *        13 *         2 *         1 *         3 *         2 *         1 *         0 *         3 *        FE * small_rus *
*     1208 *         4 *       233 *        19 *         4 *         2 *        16 *        12 *         2 *         3 *         0 *         0 *         1 *         2 *         2 *        E0 * small_yal *
*     1209 *         4 *       234 *        19 *         5 *         2 *        16 *        11 *         2 *         3 *         0 *         1 *         1 *         2 *         2 *        E4 * small_yal *
*     1210 *         4 *       235 *        19 *         6 *         2 *        16 *        10 *         2 *         3 *         0 *         2 *         1 *         2 *         2 *        E8 * small_yal *
*     1211 *         4 *       236 *        19 *         7 *         2 *        16 *         9 *         2 *         3 *         0 *         3 *         1 *         2 *         2 *        EC * small_yal *
*     1212 *         4 *       237 *        19 *         8 *         2 *        16 *         8 *         2 *         3 *         0 *         4 *         1 *         2 *         2 *        F0 * small_yal *
*     1213 *         4 *       238 *        19 *         9 *         2 *        16 *         7 *         2 *         3 *         0 *         5 *         1 *         2 *         2 *        F4 * small_yal *
*     1214 *         4 *       239 *        19 *        10 *         2 *        16 *         6 *         2 *         3 *         0 *         6 *         1 *         2 *         2 *        F8 * small_yal *
*     1215 *         4 *       240 *        19 *        11 *         2 *        16 *         5 *         2 *         3 *         0 *         7 *         1 *         2 *         2 *        FC * small_yal *
*     1216 *         4 *       241 *        20 *         0 *         2 *        17 *        16 *         2 *         1 *         0 *         3 *         1 *         0 *         2 *        E6 * small_rus *
*     1217 *         4 *       242 *        20 *         1 *         2 *        17 *        15 *         2 *         1 *         1 *         3 *         1 *         0 *         2 *        EE * small_rus *
*     1218 *         4 *       243 *        20 *         2 *         2 *        17 *        14 *         2 *         1 *         2 *         3 *         1 *         0 *         2 *        F6 * small_rus *
*     1219 *         4 *       244 *        20 *         3 *         2 *        17 *        13 *         2 *         1 *         3 *         3 *         1 *         0 *         2 *        FE * small_rus *
*     1220 *         4 *       245 *        20 *         4 *         2 *        17 *        12 *         2 *         2 *         3 *         0 *         1 *         2 *         1 *        E2 * small_yal *
*     1221 *         4 *       246 *        20 *         5 *         2 *        17 *        11 *         2 *         2 *         3 *         1 *         1 *         2 *         1 *        E6 * small_yal *
*     1222 *         4 *       247 *        20 *         6 *         2 *        17 *        10 *         2 *         2 *         3 *         2 *         1 *         2 *         1 *        EA * small_yal *
*     1223 *         4 *       248 *        20 *         7 *         2 *        17 *         9 *         2 *         2 *         3 *         3 *         1 *         2 *         1 *        EE * small_yal *
*     1224 *         4 *       249 *        20 *         8 *         2 *        17 *         8 *         2 *         2 *         3 *         4 *         1 *         2 *         1 *        F2 * small_yal *
*     1225 *         4 *       250 *        20 *         9 *         2 *        17 *         7 *         2 *         2 *         3 *         5 *         1 *         2 *         1 *        F6 * small_yal *
*     1226 *         4 *       251 *        20 *        10 *         2 *        17 *         6 *         2 *         2 *         3 *         6 *         1 *         2 *         1 *        FA * small_yal *
*     1227 *         4 *       252 *        20 *        11 *         2 *        17 *         5 *         2 *         2 *         3 *         7 *         1 *         2 *         1 *        FE * small_yal *
*     1228 *         4 *       253 *        21 *         0 *         2 *        18 *        16 *         2 *         1 *         0 *         4 *         1 *         0 *         2 *        E4 * small_rus *
*     1229 *         4 *       254 *        21 *         1 *         2 *        18 *        15 *         2 *         1 *         1 *         4 *         1 *         0 *         2 *        EC * small_rus *
*     1230 *         4 *       255 *        21 *         2 *         2 *        18 *        14 *         2 *         1 *         2 *         4 *         1 *         0 *         2 *        F4 * small_rus *
*     1231 *         4 *       256 *        21 *         3 *         2 *        18 *        13 *         2 *         1 *         3 *         4 *         1 *         0 *         2 *        FC * small_rus *
*     1232 *         4 *       257 *        21 *         4 *         2 *        18 *        12 *         2 *         2 *         2 *         0 *         1 *         2 *         1 *        E0 * small_yal *
*     1233 *         4 *       258 *        21 *         5 *         2 *        18 *        11 *         2 *         2 *         2 *         1 *         1 *         2 *         1 *        E4 * small_yal *
*     1234 *         4 *       259 *        21 *         6 *         2 *        18 *        10 *         2 *         2 *         2 *         2 *         1 *         2 *         1 *        E8 * small_yal *
*     1235 *         4 *       260 *        21 *         7 *         2 *        18 *         9 *         2 *         2 *         2 *         3 *         1 *         2 *         1 *        EC * small_yal *
*     1236 *         4 *       261 *        21 *         8 *         2 *        18 *         8 *         2 *         2 *         2 *         4 *         1 *         2 *         1 *        F0 * small_yal *
*     1237 *         4 *       262 *        21 *         9 *         2 *        18 *         7 *         2 *         2 *         2 *         5 *         1 *         2 *         1 *        F4 * small_yal *
*     1238 *         4 *       263 *        21 *        10 *         2 *        18 *         6 *         2 *         2 *         2 *         6 *         1 *         2 *         1 *        F8 * small_yal *
*     1239 *         4 *       264 *        21 *        11 *         2 *        18 *         5 *         2 *         2 *         2 *         7 *         1 *         2 *         1 *        FC * small_yal *
*     1240 *         4 *       265 *        22 *         0 *         2 *        19 *        16 *         2 *         1 *         0 *         5 *         1 *         0 *         2 *        E2 * small_rus *
*     1241 *         4 *       266 *        22 *         1 *         2 *        19 *        15 *         2 *         1 *         1 *         5 *         1 *         0 *         2 *        EA * small_rus *
*     1242 *         4 *       267 *        22 *         2 *         2 *        19 *        14 *         2 *         1 *         2 *         5 *         1 *         0 *         2 *        F2 * small_rus *
*     1243 *         4 *       268 *        22 *         3 *         2 *        19 *        13 *         2 *         1 *         3 *         5 *         1 *         0 *         2 *        FA * small_rus *
*     1244 *         4 *       269 *        22 *         4 *         2 *        19 *        12 *         2 *         2 *         1 *         0 *         1 *         2 *         0 *        E2 * small_yal *
*     1245 *         4 *       270 *        22 *         5 *         2 *        19 *        11 *         2 *         2 *         1 *         1 *         1 *         2 *         0 *        E6 * small_yal *
*     1246 *         4 *       271 *        22 *         6 *         2 *        19 *        10 *         2 *         2 *         1 *         2 *         1 *         2 *         0 *        EA * small_yal *
*     1247 *         4 *       272 *        22 *         7 *         2 *        19 *         9 *         2 *         2 *         1 *         3 *         1 *         2 *         0 *        EE * small_yal *
*     1248 *         4 *       273 *        22 *         8 *         2 *        19 *         8 *         2 *         2 *         1 *         4 *         1 *         2 *         0 *        F2 * small_yal *
*     1249 *         4 *       274 *        22 *         9 *         2 *        19 *         7 *         2 *         2 *         1 *         5 *         1 *         2 *         0 *        F6 * small_yal *
*     1250 *         4 *       275 *        22 *        10 *         2 *        19 *         6 *         2 *         2 *         1 *         6 *         1 *         2 *         0 *        FA * small_yal *
*     1251 *         4 *       276 *        22 *        11 *         2 *        19 *         5 *         2 *         2 *         1 *         7 *         1 *         2 *         0 *        FE * small_yal *
*     1252 *         4 *       277 *        23 *         0 *         2 *        20 *        16 *         2 *         1 *         0 *         6 *         1 *         0 *         2 *        E0 * small_rus *
*     1253 *         4 *       278 *        23 *         1 *         2 *        20 *        15 *         2 *         1 *         1 *         6 *         1 *         0 *         2 *        E8 * small_rus *
*     1254 *         4 *       279 *        23 *         2 *         2 *        20 *        14 *         2 *         1 *         2 *         6 *         1 *         0 *         2 *        F0 * small_rus *
*     1255 *         4 *       280 *        23 *         3 *         2 *        20 *        13 *         2 *         1 *         3 *         6 *         1 *         0 *         2 *        F8 * small_rus *
*     1256 *         4 *       281 *        23 *         4 *         2 *        20 *        12 *         2 *         2 *         0 *         0 *         1 *         2 *         0 *        E0 * small_yal *
*     1257 *         4 *       282 *        23 *         5 *         2 *        20 *        11 *         2 *         2 *         0 *         1 *         1 *         2 *         0 *        E4 * small_yal *
*     1258 *         4 *       283 *        23 *         6 *         2 *        20 *        10 *         2 *         2 *         0 *         2 *         1 *         2 *         0 *        E8 * small_yal *
*     1259 *         4 *       284 *        23 *         7 *         2 *        20 *         9 *         2 *         2 *         0 *         3 *         1 *         2 *         0 *        EC * small_yal *
*     1260 *         4 *       285 *        23 *         8 *         2 *        20 *         8 *         2 *         2 *         0 *         4 *         1 *         2 *         0 *        F0 * small_yal *
*     1261 *         4 *       286 *        23 *         9 *         2 *        20 *         7 *         2 *         2 *         0 *         5 *         1 *         2 *         0 *        F4 * small_yal *
*     1262 *         4 *       287 *        23 *        10 *         2 *        20 *         6 *         2 *         2 *         0 *         6 *         1 *         2 *         0 *        F8 * small_yal *
*     1263 *         4 *       288 *        23 *        11 *         2 *        20 *         5 *         2 *         2 *         0 *         7 *         1 *         2 *         0 *        FC * small_yal *
************************************************************************************************************************************************************************************************************
==> 476 selected entries
