************************************************************************************************************************************************************************************************************
*    Row   *      nstb *      chan *       row *       col *        pp *     pprow *     ppcol *   qtcrate *    qtslot *    qtcard *    qtchan *   hvboard *    hvchip *    hvchan * hvaddress * cell_type *
*      843 *         3 *        56 *         4 *         7 *         1 *         5 *         9 *         3 *         3 *         0 *         3 *         2 *         0 *         2 *        EC * small_yal *
*      844 *         3 *        57 *         4 *         8 *         1 *         5 *         8 *         3 *         3 *         0 *         4 *         2 *         0 *         2 *        F0 * small_yal *
*      845 *         3 *        58 *         4 *         9 *         1 *         5 *         7 *         3 *         3 *         0 *         5 *         2 *         0 *         2 *        F4 * small_yal *
*      846 *         3 *        59 *         4 *        10 *         1 *         5 *         6 *         3 *         3 *         0 *         6 *         2 *         0 *         2 *        F8 * small_yal *
*      847 *         3 *        60 *         4 *        11 *         1 *         5 *         5 *         3 *         3 *         0 *         7 *         2 *         0 *         2 *        FC * small_yal *
*      848 *         3 *        61 *         5 *         0 *         1 *         6 *        16 *         3 *         1 *         0 *         1 *         2 *         3 *         1 *        E6 * small_rus *
*      849 *         3 *        62 *         5 *         1 *         1 *         6 *        15 *         3 *         1 *         1 *         1 *         2 *         3 *         1 *        F0 * small_rus *
*      850 *         3 *        63 *         5 *         2 *         1 *         6 *        14 *         3 *         1 *         2 *         1 *         2 *         3 *         1 *        F6 * small_rus *
*      851 *         3 *        64 *         5 *         3 *         1 *         6 *        13 *         3 *         1 *         3 *         1 *         2 *         3 *         1 *        FC * small_rus *
*      852 *         3 *        65 *         5 *         4 *         1 *         6 *        12 *         3 *         3 *         1 *         0 *         2 *         0 *         2 *        E2 * small_yal *
*      853 *         3 *        66 *         5 *         5 *         1 *         6 *        11 *         3 *         3 *         1 *         1 *         2 *         0 *         2 *        E6 * small_yal *
*      854 *         3 *        67 *         5 *         6 *         1 *         6 *        10 *         3 *         3 *         1 *         2 *         2 *         0 *         2 *        EA * small_yal *
*      855 *         3 *        68 *         5 *         7 *         1 *         6 *         9 *         3 *         3 *         1 *         3 *         2 *         0 *         2 *        EE * small_yal *
*      856 *         3 *        69 *         5 *         8 *         1 *         6 *         8 *         3 *         3 *         1 *         4 *         2 *         0 *         2 *        F2 * small_yal *
*      857 *         3 *        70 *         5 *         9 *         1 *         6 *         7 *         3 *         3 *         1 *         5 *         2 *         0 *         2 *        F6 * small_yal *
*      858 *         3 *        71 *         5 *        10 *         1 *         6 *         6 *         3 *         3 *         1 *         6 *         2 *         0 *         2 *        FA * small_yal *
*      859 *         3 *        72 *         5 *        11 *         1 *         6 *         5 *         3 *         3 *         1 *         7 *         2 *         0 *         2 *        FE * small_yal *
*      860 *         3 *        73 *         6 *         0 *         1 *        11 *         8 *         3 *         1 *         0 *         0 *         2 *         3 *         1 *        E4 * small_rus *
*      861 *         3 *        74 *         6 *         1 *         1 *        10 *         5 *         3 *         1 *         1 *         0 *         2 *         3 *         1 *        EE * small_rus *
*      862 *         3 *        75 *         6 *         2 *         1 *        10 *         6 *         3 *         1 *         2 *         0 *         2 *         3 *         1 *        F4 * small_rus *
*      863 *         3 *        76 *         6 *         3 *         1 *        10 *         7 *         3 *         1 *         3 *         0 *         2 *         3 *         1 *        FA * small_rus *
*      864 *         3 *        77 *         6 *         4 *         1 *        10 *         8 *         3 *         3 *         2 *         0 *         2 *         0 *         3 *        E0 * small_yal *
*      865 *         3 *        78 *         6 *         5 *         1 *        10 *         9 *         3 *         3 *         2 *         1 *         2 *         0 *         3 *        E4 * small_yal *
*      866 *         3 *        79 *         6 *         6 *         1 *         7 *         8 *         3 *         3 *         2 *         2 *         2 *         0 *         3 *        E8 * small_yal *
*      867 *         3 *        80 *         6 *         7 *         1 *         7 *         9 *         3 *         3 *         2 *         3 *         2 *         0 *         3 *        EC * small_yal *
*      868 *         3 *        81 *         6 *         8 *         1 *         7 *        10 *         3 *         3 *         2 *         4 *         2 *         0 *         3 *        F0 * small_yal *
*      869 *         3 *        82 *         6 *         9 *         1 *         7 *         1 *         3 *         3 *         2 *         5 *         2 *         0 *         3 *        F4 * small_yal *
*      870 *         3 *        83 *         6 *        10 *         1 *         7 *         2 *         3 *         3 *         2 *         6 *         2 *         0 *         3 *        F8 * small_yal *
*      871 *         3 *        84 *         6 *        11 *         1 *         7 *         3 *         3 *         3 *         2 *         7 *         2 *         0 *         3 *        FC * small_yal *
*      872 *         3 *        90 *         7 *         5 *         1 *         9 *         5 *         3 *         3 *         3 *         1 *         2 *         0 *         3 *        E2 * small_yal *
*      873 *         3 *        91 *         7 *         6 *         1 *         7 *        11 *         3 *         3 *         3 *         2 *         2 *         0 *         3 *        E6 * small_yal *
*      874 *         3 *        92 *         7 *         7 *         1 *         7 *        12 *         3 *         3 *         3 *         3 *         2 *         0 *         3 *        EA * small_yal *
*      875 *         3 *        93 *         7 *         8 *         1 *         7 *        13 *         3 *         3 *         3 *         4 *         2 *         0 *         3 *        EE * small_yal *
*      876 *         3 *        94 *         7 *         9 *         1 *         6 *         1 *         3 *         3 *         3 *         5 *         2 *         0 *         3 *        F2 * small_yal *
*      877 *         3 *        95 *         7 *        10 *         1 *         6 *         2 *         3 *         3 *         3 *         6 *         2 *         0 *         3 *        F6 * small_yal *
*      878 *         3 *        96 *         7 *        11 *         1 *         6 *         3 *         3 *         3 *         3 *         7 *         2 *         0 *         3 *        FA * small_yal *
*      879 *         3 *       102 *         8 *         5 *         1 *         9 *         6 *         3 *         4 *         0 *         0 *         2 *         3 *         2 *        E6 * small_rus *
*      880 *         3 *       103 *         8 *         6 *         1 *         7 *        14 *         3 *         4 *         0 *         1 *         2 *         3 *         2 *        EE * small_rus *
